trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1008,False,"{'a': 0.5, 'e': 0.5335533202133944}",20,0,-49.0120695666193,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
1009,False,"{'a': 0.5, 'e': 0.5327072871474963}",20,8,-39.085730610540004,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
1010,False,"{'a': 0.5, 'e': 0.5318607213743555}",20,0,-74.17672500274008,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
1011,False,"{'a': 0.5, 'e': 0.5310136237405375}",20,0,-61.066947537031986,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
1012,False,"{'a': 0.5, 'e': 0.5301659950931401}",20,3,-32.9550344540687,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
1013,False,"{'a': 0.5, 'e': 0.5293178362797918}",20,0,-72.64934419197913,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
1014,False,"{'a': 0.5, 'e': 0.5284691481486513}",25,0,-72.9714910873797,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
1015,False,"{'a': 0.5, 'e': 0.5276199315484067}",20,10,-18.14863873819963,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
1016,False,"{'a': 0.5, 'e': 0.5267701873282746}",20,10,-40.7356834409932,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 0}",1
1017,False,"{'a': 0.5, 'e': 0.525919916337999}",20,5,-83.79427259137768,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 1}",1
1018,False,"{'a': 0.5, 'e': 0.5250691194278508}",30,5,-93.80948380918018,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",1
1019,False,"{'a': 0.5, 'e': 0.524217797448627}",30,8,-71.6294682519771,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
1020,False,"{'a': 0.5, 'e': 0.5233659512516495}",20,6,-19.77296507944293,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
1021,False,"{'a': 0.5, 'e': 0.5225135816887643}",20,10,-8.659755951591075,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
1022,False,"{'a': 0.5, 'e': 0.521660689612341}",20,0,-80.83357086282116,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1023,False,"{'a': 0.5, 'e': 0.5208072758752714}",20,3,-14.243268876547168,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
1024,False,"{'a': 0.5, 'e': 0.5199533413309696}",25,18,1.9170987478046186,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1025,False,"{'a': 0.5, 'e': 0.5190988868333698}",25,5,-36.849656481111225,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
1026,False,"{'a': 0.5, 'e': 0.5182439132369261}",20,4,-24.047096735485784,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
1027,False,"{'a': 0.5, 'e': 0.5173884213966127}",30,20,-47.24168501999324,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
1028,False,"{'a': 0.5, 'e': 0.5165324121679207}",25,0,-26.237915925046256,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
1029,False,"{'a': 0.5, 'e': 0.5156758864068598}",20,2,-10.257172629101072,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
1030,False,"{'a': 0.5, 'e': 0.5148188449699553}",20,0,-46.915997191662164,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
1031,False,"{'a': 0.5, 'e': 0.513961288714249}",20,7,1.6147656049945822,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1032,False,"{'a': 0.5, 'e': 0.5131032184972965}",20,7,-40.050334692188734,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
1033,False,"{'a': 0.5, 'e': 0.5122446351771685}",25,0,-5.360688870724375,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",1
1034,False,"{'a': 0.5, 'e': 0.5113855396124478}",25,3,0.947435310207063,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
1035,False,"{'a': 0.5, 'e': 0.5105259326622303}",25,0,-13.023714702604043,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
1036,False,"{'a': 0.5, 'e': 0.5096658151861225}",30,0,-31.8608332815858,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
1037,False,"{'a': 0.5, 'e': 0.5088051880442421}",30,0,-108.98921914975486,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
