trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",25,0,-48.41221149229881,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-117.57487205109808,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",35,14,-128.11928893204535,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",25,0,-171.1496999146771,"{0: 8, 1: 6, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-84.54288924026636,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-139.7927243301482,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",25,0,-242.2696826891078,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",25,5,-92.09737849448935,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-113.90421429077944,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,2,-69.81356992015608,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",20,0,-122.36480557945545,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-96.57938024510929,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",25,0,-90.5920919077161,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",20,0,-116.45752576238537,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-79.39003880642997,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-160.6081306942986,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9998555034800082}",20,0,-121.76860530480131,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-149.13275527663197,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9998195054299763}",25,0,-50.13107458697772,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,1,-54.6659896778183,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-118.68505204086938,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9997580097605092}",20,0,-92.92554590404953,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9997355116598361}",25,0,-137.11696600790359,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-23.16881190335011,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,0,-91.14543497048845,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9996620190402377}",20,1,-135.6010715563423,"{0: 7, 1: 5, 2: 4, 3: 2, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.9996355221428369}",25,0,-203.0468910531111,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9996080256099974}",25,0,-96.28366072366137,"{0: 12, 1: 9, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9995795294692156}",25,0,-29.312965151996817,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-175.84533087406456,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.999519538478809}",20,16,8.617516678117351,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9994880436891754}",20,6,-50.62954209720004,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.9994555494115813}",20,0,-130.752876453958,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9994220556785212}",20,0,-92.592128715626,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9993875625234886}",30,0,-96.24088920030451,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,0,-143.80335012831537,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9993155780864782}",20,0,-133.23148755621565,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9992780868764849}",20,0,-119.07722016752138,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.999239596388488}",25,0,-72.64319640327766,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-42.582785035942024,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9991596177334445}",25,0,-142.1303338700512,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9991181296463766}",25,0,-91.56205346567502,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9990756424412622}",20,0,-56.89464267306093,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9990321561605888}",20,0,-135.65847605354278,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9989876708478425}",25,0,-99.30125923557911,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9989421865475084}",20,0,-97.45779535040683,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9988957033050712}",30,0,-121.5143631440466,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,2,-88.05570503303811,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.9987997401808185}",25,0,-202.25959118258638,"{0: 13, 1: 0, 2: 7, 3: 3, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-139.38425238023254,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9986997818589368}",25,0,-155.6830981984233,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-157.0812028604245,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9985958287392593}",20,4,-107.90599662412532,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.9985423542595644}",20,0,-120.25828276434363,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9984878812375985}",20,0,-43.33425539728343,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9984324097278344}",20,0,-112.36591796033723,"{0: 10, 1: 8, 2: 0, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9983759397857438}",25,0,-98.05032453052124,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9983184714677966}",30,0,-143.97768067609135,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9982600048314613}",35,0,-187.40484584364523,"{0: 20, 1: 1, 2: 10, 3: 3, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-176.36521028557968,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.9981400768384904}",20,5,-72.56236384980284,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.9980786156017829}",25,0,-158.1537294156464,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9980161562865429}",25,0,-137.60398418667606,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.99795269895523}",20,0,-95.60262879869126,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9978882436713011}",30,0,-83.52372451539657,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9978227904992117}",30,0,-143.19468513685658,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9977563395044151}",20,0,-175.9429702662701,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.9976888907533621}",20,0,-131.89531773587282,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.9976204443135014}",20,0,-34.416134662984284,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9975510002532796}",25,0,-228.69338528394232,"{0: 8, 1: 3, 2: 10, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9974805586421406}",20,0,-101.6253145326899,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9974091195505261}",25,0,-70.66325908626752,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9973366830498752}",25,0,-53.81769299495711,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9972632492126244}",30,0,-190.99449101898293,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-156.49255887855156,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9971133898230555}",20,0,-70.1118088917004,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9970369644205967}",20,0,-183.95352332080972,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9969595419812568}",25,0,-170.39195187585034,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.9968811225824579}",25,0,-268.02049785252075,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
80,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-129.1382496280361,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9967212932211577}",20,6,-56.45138297614636,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.9966398834184859}",30,0,-115.64786591997787,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9965574769760137}",20,0,-114.20481418329764,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,0,-90.64179914211356,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9963896745022904}",20,0,-194.34986796652578,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.996304278638842}",20,0,-109.64755532997447,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9962178864711978}",25,0,-203.37197388703916,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.9961304980857502}",25,0,-85.52108092723869,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9960421135698875}",20,0,-14.809069000712062,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-34.45512972929139,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9958623565014509}",20,0,-73.89412822612455,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.9957709841286342}",20,0,-190.7321896126585,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 3}",0
93,False,"{'a': 0.5, 'e': 0.9956786159849162}",25,0,-103.18651971298077,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9955852521626654}",20,0,-150.716061404945,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9954908927552453}",25,0,-151.08682202774597,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9953955378570153}",30,0,-180.11334585157056,"{0: 13, 1: 4, 2: 11, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9952991875633305}",25,0,-50.19654431736789,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.995201841970541}",20,0,-83.70150636414851,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9951035011759926}",20,0,-102.22496679701614,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9950041652780258}",20,0,-87.9849109551044,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9949038343759766}",20,11,-45.646928835887,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.994802508570176}",20,0,-150.72594621431983,"{0: 11, 1: 4, 2: 0, 3: 3, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9947001879619498}",25,9,-15.069795174899598,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.9945968726536185}",20,0,-190.57565002438298,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,0,-191.27100932142272,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.9943872583508965}",20,0,-125.45472353576767,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.9942809595661201}",35,0,-140.04514444929816,"{0: 22, 1: 6, 2: 4, 3: 1, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9941736665004669}",35,0,-98.56513900423836,"{0: 22, 1: 7, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9940653792612301}",20,0,-116.21593738304568,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,0,-117.86332588388387,"{0: 10, 1: 5, 2: 9, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.9938458226961485}",25,0,-98.27674338366131,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,7,-32.228985800930744,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.9936222907491012}",30,0,-170.09068699378423,"{0: 13, 1: 5, 2: 10, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.9935090342861342}",25,14,-22.832220266968857,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.9933947843142158}",30,0,-46.95543691712195,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.9932795409475959}",25,0,-79.87548179594066,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.9931633043015177}",20,0,-144.5636777632142,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",1
118,False,"{'a': 0.5, 'e': 0.993046074492218}",20,0,-121.83262183920944,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.9929278516369265}",20,0,-179.87714279858932,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.9928086358538663}",35,0,-141.30809694684626,"{0: 19, 1: 7, 2: 7, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.9926884272622528}",25,0,-103.5779383145094,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.9925672259822949}",30,0,-64.56450725119538,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.9924450321351935}",20,0,-65.17975504097727,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.9923218458431429}",35,6,-158.32327354790206,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 2}",1
125,False,"{'a': 0.5, 'e': 0.992197667229329}",25,0,-201.59448883363723,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.9920724964179307}",30,0,-164.4528247792419,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9919463335341185}",20,0,-144.40223376325216,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9918191787040556}",25,0,-101.263763656117,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.9916910320548965}",20,10,1.694214667366787,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,9,-42.40811341241596,"{0: 7, 1: 2, 2: 0, 3: 2, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.9914317638128685}",25,0,-181.2170387872137,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
132,False,"{'a': 0.5, 'e': 0.9913006424792677}",20,0,-111.28849187048797,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.9911685298451072}",25,0,-113.32226307303343,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.9910354260424993}",25,0,-88.25435689611687,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.9909013312045479}",25,3,-146.03256568649618,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 2}",1
136,False,"{'a': 0.5, 'e': 0.990766245465348}",20,0,-122.74854177591678,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.9906301689599851}",25,0,-201.30578501484865,"{0: 13, 1: 4, 2: 2, 3: 3, 4: 3}",0
138,False,"{'a': 0.5, 'e': 0.9904931018245359}",25,0,-205.85607211560543,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
139,False,"{'a': 0.5, 'e': 0.9903550441960673}",25,0,-55.05011837171717,"{0: 14, 1: 8, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,10,-22.338956894393334,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.9900759580132933}",20,0,-116.77412979376467,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.9899349297380738}",25,0,-142.42890195601015,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.9897929115280072}",20,0,-26.84125395720565,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.9896499035251115}",35,0,-187.9049652752777,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9895059058723947}",25,0,-152.23269487972965,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.9893609187138546}",20,0,-178.57968878230386,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
147,False,"{'a': 0.5, 'e': 0.9892149421944781}",30,9,-133.66715914477672,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 2}",1
148,False,"{'a': 0.5, 'e': 0.989067976460242}",20,0,-125.37396885408845,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9889200216581118}",20,0,-106.56481162114306,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-84.52154184804814,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9886211454429773}",25,0,-112.8877048060984,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.9884702243288492}",20,0,-106.40088908754174,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.9883183147445792}",20,0,-113.12615441395971,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.9881654168420767}",30,0,-196.65550615571019,"{0: 18, 1: 6, 2: 2, 3: 0, 4: 4}",0
155,False,"{'a': 0.5, 'e': 0.9880115307742399}",25,0,-201.6142170059975,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
156,False,"{'a': 0.5, 'e': 0.9878566566949545}",20,0,-123.53056124569477,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9877007947590948}",20,0,-156.45459000283648,"{0: 4, 1: 7, 2: 7, 3: 1, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.9875439451225226}",20,0,-98.80112136267631,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.9873861079420876}",20,0,-120.12103148891867,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-224.66691123431733,"{0: 8, 1: 1, 2: 5, 3: 3, 4: 3}",0
161,False,"{'a': 0.5, 'e': 0.9870674715819652}",30,0,-185.88737003224523,"{0: 12, 1: 6, 2: 9, 3: 2, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.986906672720914}",25,0,-180.46120803117458,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.9867448869532726}",20,0,-139.55924231511665,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9865821144408262}",20,0,-68.38223079076363,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.9864183553463477}",20,0,-124.23099656563504,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.986253609833596}",20,0,-46.87815348064915,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.9860878780673167}",25,0,-108.47497810635724,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.9859211602132415}",30,0,-242.56497384278393,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
169,False,"{'a': 0.5, 'e': 0.9857534564380882}",20,0,-134.19416177706563,"{0: 9, 1: 1, 2: 6, 3: 4, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.9855847669095608}",30,0,-131.78276511983458,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.9854150917963483}",20,0,-138.3561688105204,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
172,False,"{'a': 0.5, 'e': 0.9852444312681263}",20,0,-61.82106347808882,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9850727854955552}",25,13,-26.069292465037154,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.9849001546502806}",20,0,-168.24463259489565,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-24.790426011556857,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.9845519384331295}",25,0,-31.126412592355774,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.984376353409469}",25,0,-180.68607756873348,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.9841997840095373}",20,0,-120.29419436640381,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.9840222304099036}",20,0,-16.418889520526605,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-62.61841980716591,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.9836641713227284}",25,0,-110.15717501815891,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.9834836661932461}",20,0,-44.22146912110658,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.9833021775801796}",20,0,-92.45657131200342,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
184,False,"{'a': 0.5, 'e': 0.9831197056650174}",30,0,-137.36306587988736,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
